,customer_id,gender,start_date,end_date,is_deleted,campaign_name,class_name,price,calc_date,membership_period,mean,median,max,min,routine_flg
350,TS511179,F,2016-05-01,2018-04-30 00:00:00,1,2_일반,0_종일,10500,2018-04-30,23,3.0,3.0,3,3,0
366,HD542886,M,2016-05-01,2018-04-30 00:00:00,1,2_일반,0_종일,10500,2018-04-30,23,1.0,1.0,1,1,0
388,HI749296,M,2016-06-01,2018-05-31 00:00:00,1,2_일반,0_종일,10500,2018-05-31,23,3.0,3.0,3,3,0
401,OA007936,M,2016-06-01,2018-05-31 00:00:00,1,2_일반,0_종일,10500,2018-05-31,23,3.0,3.0,4,2,0
424,IK938859,M,2016-08-01,2018-04-30 00:00:00,1,2_일반,0_종일,10500,2018-04-30,20,4.0,4.0,4,4,0
429,AS888896,F,2016-08-01,2018-05-31 00:00:00,1,2_일반,0_종일,10500,2018-05-31,21,3.0,3.0,3,3,0
458,PL391002,M,2016-09-01,2018-04-30 00:00:00,1,2_일반,0_종일,10500,2018-04-30,19,2.0,2.0,2,2,0
461,IK616996,M,2016-09-01,2018-05-31 00:00:00,1,2_일반,0_종일,10500,2018-05-31,20,1.5,1.5,2,1,0
467,HI549569,F,2016-09-01,2018-05-31 00:00:00,1,2_일반,0_종일,10500,2018-05-31,20,3.0,3.0,4,2,1
492,AS047907,M,2016-10-01,2018-08-31 00:00:00,1,2_일반,0_종일,10500,2018-08-31,22,4.0,4.0,5,3,1
493,OA308827,F,2016-10-01,2018-08-31 00:00:00,1,2_일반,0_종일,10500,2018-08-31,22,2.2,2.0,3,1,0
494,AS934534,M,2016-10-01,2018-09-30 00:00:00,1,2_일반,0_종일,10500,2018-09-30,23,2.8333333333333335,3.0,4,1,1
495,OA422514,F,2016-10-01,2018-09-30 00:00:00,1,2_일반,0_종일,10500,2018-09-30,23,2.6666666666666665,2.5,4,1,0
525,AS700549,F,2016-10-01,2018-04-30 00:00:00,1,2_일반,0_종일,10500,2018-04-30,18,1.0,1.0,1,1,0
540,OA179234,M,2016-11-01,2018-07-31 00:00:00,1,2_일반,0_종일,10500,2018-07-31,20,2.0,2.0,3,1,0
547,PL128063,M,2016-11-01,2018-04-30 00:00:00,1,2_일반,0_종일,10500,2018-04-30,17,2.0,2.0,2,2,0
